Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,Amount
La Marvella A Sarovar Premiere Hotel,"₹ 5,999",Jayanagar | 4.4 km from Jayadeva Hospital,,4.3, (Very Good),395,33%,"['Free Parking', 'Childcare Services', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"5,999"
"The Fern Residency - Yeshwanthpur, Bengaluru","₹ 1,805",Tumkur road | 3.1 km from Yeswantpur Junction Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 460 Off,4.2, (Very Good),359,6%,"['Indoor Games', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"1,805"
Oakwood Residence Prestige Whitefield,"₹ 4,500",Brookefield,,4.1, (Very Good),451,11%,"['Kids Play Area', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"4,500"
Octave Studio Hotel,"₹ 1,175",Koramangala,,4.3, (Very Good),383,,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,175"
Lemon Tree Hotel Whitefield,"₹ 2,028",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 1755 Off,4.2, (Very Good),802,25%,"['Business Centre', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"2,028"
Hotel Ivory Tower,"₹ 2,127",Church Street | 4.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1033 Off,4.3, (Very Good),157,,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,127"
Signature Club Resort,"₹ 3,568",Bychapura | 40.8 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 1300 Off,4, (Very Good),783,,"['Free Parking', 'Childcare Services', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"3,568"
Days Suites by Wyndham Whitefield,"₹ 1,293",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 330 Off,4.1, (Very Good),1411,42%,"['Lounge', 'Free Parking', 'Bakery']",Bangalore,9/8/2021,11/8/2021,"1,293"
Lemon Tree Hotel Electronics City Bangalore,"₹ 1,997",Electronic City,Exclusive Offer - HDFC Credit Card Users. Get INR 1040 Off,3.9, (Good),248,41%,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"1,997"
Capital O 15950 J K Residency,"₹ 1,293",K R Puram,Exclusive Offer - HDFC Credit Card Users. Get INR 319 Off,4.3, (Very Good),780,11%,"['Lounge', 'Free Wi-Fi', 'Kitchenette']",Bangalore,9/8/2021,11/8/2021,"1,293"
Hotel Ramanashree Richmond Circle,"₹ 2,037",Sampangi Rama Nagar | 3.3 km from Kempegowda Bus Station,,3.9, (Good),324,53%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"2,037"
JP CORDIAL,"₹ 1,688",Majestic | 990 m from Majestic Bus Terminus,Exclusive Offer - HDFC Credit Card Users. Get INR 819 Off,4, (Very Good),1359,33%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"1,688"
