Title,Price,Location,Offer,Rating,Review,No_of_ratings,Discount,Special,City,From_Date,To_Date,Amount
KSTDC Hotel Kumarakrupa,"₹ 1,880",Sheshadripuram | 3.2 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 480 Off,3.2, (Good),18,51%,"['Lounge', 'Conference Room', 'Lawn']",Bangalore,9/8/2021,11/8/2021,"1,880"
OYO 78919 Cozy Stay HSR Layout Sector-6,"₹ 1,476",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 365 Off,3.7, (Good),301,28%,"['Kitchenette', 'Living Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,476"
St. Mark's Hotel,"₹ 2,393",Residency Road | 4.3 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1162 Off,4, (Very Good),253,16%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,393"
Jayamahal Palace,"₹ 3,341",Nandi Durga Road Extension | 660 m from Bangalore Cantt. Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1798 Off,4.8, (Excellent),123,6%,"['Lounge', 'Outdoor Sports', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"3,341"
The Elite Royale,"₹ 1,139",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 553 Off,3.5, (Good),20,51%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"1,139"
Shoba Suites,"₹ 1,291",Kalyan Nagar | 3.9 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 626 Off,4.5, (Excellent),139,24%,"['Kitchenette', 'Caretaker', 'Living Room']",Bangalore,9/8/2021,11/8/2021,"1,291"
Langford Keys by TGI,"₹ 2,532",Shanti Nagar | 4.3 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1230 Off,3.4, (Good),256,26%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"2,532"
Capital O 11092 Shiv Enclave,"₹ 1,785",HBR Layout | 1.3 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 441 Off,3.3, (Good),218,24%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,785"
Sri Kumara Lodge,₹ 705,Chickpete | 800 m from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 180 Off,3.6, (Good),131,24%,"['Free Parking', 'Free Wi-Fi', 'Lawn']",Bangalore,9/8/2021,11/8/2021,705
Orel Inn - BTM Layout,"₹ 1,239",BTM Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 1425 Off,4.4, (Very Good),62,16%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,239"
Grand Mercure Bangalore - An Accor Hotels Brand,"₹ 3,050",Koramangala | 4.9 km from Jayadeva Hospital,,3.8, (Good),134,51%,"['Kids Play Area', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"3,050"
The Park Slope Hotel,"₹ 2,161",Jayanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 551 Off,4.4, (Very Good),7,53%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"2,161"
Ramanashree California Resort,"₹ 1,669",Anantapura,Exclusive Offer - HDFC Credit Card Users. Get INR 607 Off,3.6, (Good),132,48%,"['Free Parking', 'Free Wi-Fi', 'Lawn']",Bangalore,9/8/2021,11/8/2021,"1,669"
OYO Home 41195 Shiva Shakthi Inn,"₹ 1,743",J. P. Nagar | 3.4 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 431 Off,4.5, (Excellent),74,54%,"['Caretaker', 'Free Wi-Fi', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,743"
ZION-a Luxurious hotel,"₹ 2,627",Gandhi Nagar | 1.5 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1633 Off,3.8, (Good),68,6%,"['Kids Play Area', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"2,627"
Eden Park Residency,"₹ 1,351",RT Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 656 Off,3.2, (Good),721,24%,"['Lounge', 'Free Parking', 'Bar']",Bangalore,9/8/2021,11/8/2021,"1,351"
Suvee Boutique Hotel,"₹ 2,406",Banashankari | 640 m from NU Hospitals,Exclusive Offer - HDFC Credit Card Users. Get INR 1168 Off,3.5, (Good),57,51%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,"2,406"
Capital O 27798 Hotel Cosmopolitan,"₹ 1,465",Boovanahalli | 33.6 km from city centre9.1 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 362 Off,4.6, (Excellent),115,20%,"['Free Parking', 'Conference Room', 'Kitchenette']",Bangalore,9/8/2021,11/8/2021,"1,465"
OYO 29620 New Champion Residency,"₹ 1,535",K R Puram,Exclusive Offer - HDFC Credit Card Users. Get INR 379 Off,3, (Good),442,16%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,535"
OYO 62331 GN Collection O,"₹ 1,543",Rajajinagar,Exclusive Offer - HDFC Credit Card Users. Get INR 381 Off,4, (Very Good),18,16%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,543"
BonzaiStay,"₹ 1,866",Kalyan Nagar | 3.4 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 906 Off,2.8,,129,51%,"['Free Parking', 'Kitchenette', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,866"
White Feather Hotel & Apartments,"₹ 1,688",Sanjaynagar | 2.2 km from Lottegollahalli Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 820 Off,3.9, (Good),48,51%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,688"
Royal Serenity - Kammanahalli,"₹ 1,182",Kammanahalli | 3.5 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 574 Off,3.9, (Good),33,51%,"['Cafe', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,182"
OYO Townhouse 077 RNS Engineering College,"₹ 1,338",RR Nagar | 3.2 km from BGS Global Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 330 Off,4.3, (Very Good),35,28%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,338"
Capital O 5381 The Emirates Hotel,"₹ 1,388",Hosur road,Exclusive Offer - HDFC Credit Card Users. Get INR 343 Off,4, (Very Good),16,16%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,388"
KSTDC Hotel Mayura Nisarga Pearl Valley,"₹ 1,222", | 39.9 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 312 Off,3.9, (Good),27,16%,"['Elevator/Lift', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,"1,222"
Serene Boutique Hotel,₹ 999,HSR Layout,,3.2, (Good),107,51%,"['Kitchenette', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,999
ibis Bengaluru City Centre,"₹ 1,899",Sampangi Rama Nagar,,3.3, (Good),358,51%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,899"
The Ambient Turret,"₹ 1,523",J. P. Nagar | 800 m from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 946 Off,4.3, (Very Good),19,6%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,523"
HLV Grand Inn,₹ 995,Gandhi Nagar | 970 m from Majestic Bus Terminus,Exclusive Offer - HDFC Credit Card Users. Get INR 618 Off,3.4, (Good),57,,"['Free Parking', 'Business Centre', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,995
Octave Jamayca Hotel,"₹ 1,011",Outer Ring Road | 3.4 km from Manyata Embassy Business Park,Exclusive Offer - HDFC Credit Card Users. Get INR 258 Off,4.2, (Very Good),579,27%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,011"
Collection O 12684 Compact Green View,"₹ 1,458",Agara | 4.3 km from Garuda Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 360 Off,3.9, (Good),116,32%,"['Free Wi-Fi', 'Room Service', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,458"
Misty Blue Service Apartment,"₹ 2,294",Bannerghatta Main road | 880 m from Apollo Hospitals,Exclusive Offer - HDFC Credit Card Users. Get INR 585 Off,3.5, (Good),60,20%,"['Kitchenette', 'Caretaker', 'Living Room']",Bangalore,9/8/2021,11/8/2021,"2,294"
Capital O 11186 The Lark,"₹ 1,360",Vidyanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 336 Off,3.6, (Good),146,6%,"['Conference Room', 'Bar', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,360"
ADYA CLASSIC,"₹ 1,290",Bommasandra | 440 m from Narayana Institute of Cardiac Sciences,Exclusive Offer - HDFC Credit Card Users. Get INR 801 Off,3.6, (Good),180,51%,"['Free Parking', 'ATM', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,290"
Cinnamon Residency,"₹ 1,277",Thammenahalli Village | 970 m from Bonemill Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 619 Off,4, (Very Good),24,23%,"['Outdoor Sports', 'Free Parking', 'Vehicle Rentals']",Bangalore,9/8/2021,11/8/2021,"1,277"
Hotel Basant Residency,"₹ 1,083",Gandhi Nagar | 1.3 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 673 Off,3.7, (Good),49,51%,"['Free Parking', 'Conference Room', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,083"
Pearl Suites,"₹ 1,013",Murugeshpalya | 1.6 km from Manipal Hospitals - Old Airport Road,,3.7, (Good),71,28%,"['Golf', 'Butler Services', 'Indoor Games']",Bangalore,9/8/2021,11/8/2021,"1,013"
OYO 11916 Varcity Plaza,₹ 809,BTM Layout | 2.4 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 200 Off,3.3, (Good),42,24%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,809
OYO 23427 Ashrey Comforts,"₹ 1,267",Begur,Exclusive Offer - HDFC Credit Card Users. Get INR 313 Off,3.1, (Good),558,20%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,267"
Windsor Castle Inn,"₹ 1,202",Ashok Nagar | 810 m from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 541 Off,4, (Very Good),63,32%,"['Free Parking', 'Conference Room', 'ATM']",Bangalore,9/8/2021,11/8/2021,"1,202"
White castle,"₹ 3,102",Jakkuru | 690 m from Amrutha Halli Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 792 Off,3.8, (Good),131,51%,"['Indoor Games', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"3,102"
HM Suites & Studios,"₹ 1,616",Residency Road,Exclusive Offer - HDFC Credit Card Users. Get INR 830 Off,4, (Very Good),57,51%,"['Caretaker', 'Power Backup', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"1,616"
OYO 592 Hotel Chetan International,₹ 630,Gandhi Nagar | 1.6 km from Kempegowda Bus Station,Special Offer Price - Get INR  298  Off,4, (Very Good),50,23%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,630
OYO 10522 Varcity Emerald,₹ 926,Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 228 Off,3.9, (Good),37,6%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,926
OYO Townhouse 071 Brookfield,"₹ 1,278",Brookefield,Exclusive Offer - HDFC Credit Card Users. Get INR 315 Off,4, (Very Good),204,28%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,278"
"Habitat Hotel & Suites, Bengaluru","₹ 1,272",Yeshwanthpur | 92 m from Yeswantpur Junction Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 986 Off,3.4, (Good),14,51%,"['Free Parking', 'Conference Room', 'Lawn']",Bangalore,9/8/2021,11/8/2021,"1,272"
The Golden Palms Hotel & Spa,"₹ 7,520",Nagarur Colony | 23.8 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 1920 Off,3.3, (Good),123,51%,"['Lounge', 'Indoor Games', 'Outdoor Sports']",Bangalore,9/8/2021,11/8/2021,"7,520"
OYO 19749 New Shelton Suites,"₹ 1,266",Hunasamaranahalli | 760 m from Hunasamaranahalli Bus Stop,Exclusive Offer - HDFC Credit Card Users. Get INR 313 Off,3.8, (Good),248,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,"1,266"
Hotel Gangothri,₹ 822,Koramangala | 4.9 km from Garuda Mall,Exclusive Offer - HDFC Credit Card Users. Get INR 370 Off,3.9, (Good),8,25%,"['Lounge', 'Free Parking', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,822
Ramee Guestline Hotel,"₹ 2,148",Attibele Industrial Area | 28.5 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 1335 Off,3.2, (Good),151,6%,"['Free Parking', 'Outdoor Sports', 'Lawn']",Bangalore,9/8/2021,11/8/2021,"2,148"
Shetty Gardenia Basavanagudi,"₹ 1,630",Banashankari,Exclusive Offer - HDFC Credit Card Users. Get INR 1875 Off,3.1, (Good),29,51%,"['Free Parking', 'Bar', 'Vehicle Rentals']",Bangalore,9/8/2021,11/8/2021,"1,630"
Hotel Arafa Inn,"₹ 1,592",Gandhi Nagar | 1.2 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 990 Off,3.8, (Good),109,49%,"['Free Parking', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,592"
OYO 6960 Kengeri,"₹ 1,748",Mysore road | 40 m from Mysore Road Satellite Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 432 Off,3.3, (Good),768,32%,"['Conference Room', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,748"
Arra Grande Suites,"₹ 1,469",Sonnapanahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 713 Off,3.7, (Good),66,35%,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,469"
UD Residency,"₹ 1,863",Kanakpura road,Exclusive Offer - HDFC Credit Card Users. Get INR 1158 Off,3.9, (Good),43,20%,"['Bar', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,863"
Collection O 199 Tin factory,"₹ 1,372",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 339 Off,3.2, (Good),29,51%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,372"
Capital O 65241 I Cloud Suites,"₹ 2,293",Bellandur,Exclusive Offer - HDFC Credit Card Users. Get INR 567 Off,3.8, (Good),267,27%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"2,293"
Capital O 5683 SS Suites,"₹ 1,567",Bannerghatta Main road | 2.3 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 387 Off,3.9, (Good),125,20%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,567"
Akshaya Residency,"₹ 1,435",Kumaraswamy Layout,Exclusive Offer - HDFC Credit Card Users. Get INR 697 Off,2.9,,128,51%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Bangalore,9/8/2021,11/8/2021,"1,435"
Hotel Airport City Bengaluru,"₹ 1,523",Doddajala | 30.9 km from city centre9.0 km from Kempegowda Airport,Exclusive Offer - HDFC Credit Card Users. Get INR 388 Off,4.1, (Very Good),14,51%,"['Yoga', 'Tours and Treks', 'Indoor Games']",Bangalore,9/8/2021,11/8/2021,"1,523"
SILICON HEARTH -1,"₹ 1,410",C V Raman Nagar,Exclusive Offer - HDFC Credit Card Users. Get INR 360 Off,3.8, (Good),138,51%,"['Caretaker', 'Living Room', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,"1,410"
Capital O 11927 Varcity Imperium,"₹ 1,820",Shivaji Nagar | 4.6 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 450 Off,4.1, (Very Good),31,16%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,820"
The Paul Bangalore,"₹ 3,500",Domlur Layout | 2.3 km from Manipal Hospitals - Old Airport Road,,4.5, (Excellent),53,15%,"['Indoor Games', 'Kids Play Area', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"3,500"
OYO 554 Hotel Red Carpet Residence,"₹ 1,592",Ulsoor,Exclusive Offer - HDFC Credit Card Users. Get INR 393 Off,3.6, (Good),98,6%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,592"
Capital O 333 Hotel Crystal Homes,"₹ 1,521",Doopanahalli | 620 m from 100 Feet Road Indiranagar,Exclusive Offer - HDFC Credit Card Users. Get INR 376 Off,3.4, (Good),209,51%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,521"
Hotel Golden Residency - Majestic,"₹ 1,194",Gandhi Nagar | 1.4 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 742 Off,4.2, (Very Good),23,10%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"1,194"
Capital O 8739 Stay Inn Rooms Bellandur,"₹ 1,740",Outer Ring Road,Exclusive Offer - HDFC Credit Card Users. Get INR 430 Off,4.2, (Very Good),41,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,"1,740"
Sri Trupthi Comforts,₹ 689,Gandhi Nagar | 1.2 km from Kempegowda Bus Station,Exclusive Offer - HDFC Credit Card Users. Get INR 815 Off,2.9,,18,51%,"['Cafe', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,689
Hotel Enzo International,₹ 438,Outer Ring Road,,3.5, (Good),491,20%,"['Free Parking', 'Free Wi-Fi', 'Lawn']",Bangalore,9/8/2021,11/8/2021,438
OYO 4691 Sai Comforts,"₹ 1,515",Yeshwanthpur,Exclusive Offer - HDFC Credit Card Users. Get INR 374 Off,3.5, (Good),105,51%,"['Free Wi-Fi', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"1,515"
D'Habitat Serviced Apartments,"₹ 2,256",Koramangala | 4.9 km from Brigade Road,Exclusive Offer - HDFC Credit Card Users. Get INR 576 Off,3.1, (Good),78,35%,"['Kitchenette', 'Caretaker', 'Living Room']",Bangalore,9/8/2021,11/8/2021,"2,256"
La Prosperite,"₹ 4,272",Hulimavu | 4.7 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 1556 Off,3, (Good),248,27%,"['Free Parking', 'Free Wi-Fi', 'Kitchenette']",Bangalore,9/8/2021,11/8/2021,"4,272"
OYO Townhouse 007 Indiranagar,"₹ 2,003",,Exclusive Offer - HDFC Credit Card Users. Get INR 495 Off,4.2, (Very Good),96,51%,"['Free Parking', 'Conference Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,"2,003"
SFO Hotel and Suites,"₹ 2,712",Jayanagar | 1.7 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 692 Off,3.8, (Good),66,25%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"2,712"
Iris Inn by Bhagini,"₹ 1,367",Outer Ring Road | 93 m from Mahadevapura bus stop,Exclusive Offer - HDFC Credit Card Users. Get INR 735 Off,3.9, (Good),11,11%,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"1,367"
K C RESIDENCY,₹ 770,Peenya,Exclusive Offer - HDFC Credit Card Users. Get INR 196 Off,3.5, (Good),68,51%,"['Lounge', 'Free Parking', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,770
YC Grand Boutique Hotel,₹ 948,Electronic City | 18.9 km from city centre,Exclusive Offer - HDFC Credit Card Users. Get INR 241 Off,4.1, (Very Good),37,6%,"['Caretaker', 'Free Wi-Fi', 'Power Backup']",Bangalore,9/8/2021,11/8/2021,948
Zostel Bangalore,₹ 599,Kodihalli,,4.4, (Very Good),368,30%,"['Cafe', 'Luggage Storage', 'Bonfire']",Bangalore,9/8/2021,11/8/2021,599
iNest Suites,₹ 686,Hosur road | 3.1 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 568 Off,3.9, (Good),43,23%,"['Vehicle Rentals', 'Free Wi-Fi', 'Kitchenette']",Bangalore,9/8/2021,11/8/2021,686
Collection O 30057 Grand Continent JP Nagar,"₹ 1,332",Bannerghatta Main road | 1.2 km from Jayadeva Hospital,Exclusive Offer - HDFC Credit Card Users. Get INR 329 Off,4.3, (Very Good),141,53%,"['Free Parking', 'Free Wi-Fi', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,332"
Meenal - A Boutique Hotel,"₹ 1,791",Ashok Nagar | 3.7 km from Bangalore East Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1113 Off,4.4, (Very Good),169,,"['Lounge', 'Free Parking', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,791"
Fairfield by Marriott Bengaluru Whitefield,"₹ 2,800",Brookefield,,4.1, (Very Good),111,27%,"['Lounge', 'Free Parking', 'Business Centre']",Bangalore,9/8/2021,11/8/2021,"2,800"
OYO 19325 Balaji Comforts,"₹ 1,388",Mangammanapalya,Exclusive Offer - HDFC Credit Card Users. Get INR 343 Off,4, (Very Good),122,51%,"['Free Wi-Fi', 'Air Conditioning', 'Room Service']",Bangalore,9/8/2021,11/8/2021,"1,388"
Hotel Evoma,"₹ 2,269",Battarahalli,Exclusive Offer - HDFC Credit Card Users. Get INR 1410 Off,3.6, (Good),94,20%,"['Lounge', 'Indoor Games', 'Free Parking']",Bangalore,9/8/2021,11/8/2021,"2,269"
Navanidhi Comforts,₹ 856,Yeshwanthpur | 610 m from Yeswantpur Junction Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 385 Off,4.3, (Very Good),88,11%,"['Business Centre', 'Vehicle Rentals', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,856
Nahar Heritage,"₹ 2,381",Ashok Nagar | 240 m from UB City,Exclusive Offer - HDFC Credit Card Users. Get INR 1156 Off,3.3, (Good),48,51%,['Room Service'],Bangalore,9/8/2021,11/8/2021,"2,381"
Novotel Bengaluru Outer Ring Road,"₹ 2,500",Outer Ring Road | 630 m from RMZ Ecospace,,4.3, (Very Good),162,24%,"['Lounge', 'Indoor Games', 'Kids Play Area']",Bangalore,9/8/2021,11/8/2021,"2,500"
Nexstay Rainbow Business Hotel,₹ 940,Ashok Nagar | 320 m from UB City,Exclusive Offer - HDFC Credit Card Users. Get INR 239 Off,3.1, (Good),79,14%,"['Business Centre', 'Conference Room', 'Free Wi-Fi']",Bangalore,9/8/2021,11/8/2021,940
Mohan Regency,"₹ 2,362",Tumkur road,Exclusive Offer - HDFC Credit Card Users. Get INR 1147 Off,3.9, (Good),36,16%,"['Free Parking', 'Elevator/Lift', 'Air Conditioning']",Bangalore,9/8/2021,11/8/2021,"2,362"
The Verda Prakyathi,"₹ 1,942",Yelahanka Satellite Town,Exclusive Offer - HDFC Credit Card Users. Get INR 943 Off,4.5, (Excellent),78,50%,"['Lounge', 'Business Centre', 'Conference Room']",Bangalore,9/8/2021,11/8/2021,"1,942"
OYO 9252 SLN Homes,"₹ 1,241",Allalasandra,Exclusive Offer - HDFC Credit Card Users. Get INR 306 Off,3.7, (Good),29,6%,"['Free Wi-Fi', 'Kitchenette', 'Elevator/Lift']",Bangalore,9/8/2021,11/8/2021,"1,241"
Cuckoo hostel,₹ 415,Koramangala | 4.9 km from Garuda Mall,,3.9, (Good),12,16%,"['Tours and Treks', 'Luggage Storage', 'Housekeeping']",Bangalore,9/8/2021,11/8/2021,415
The Kandi Tree,"₹ 1,720",Jayanagar,Exclusive Offer - HDFC Credit Card Users. Get INR 1069 Off,4.7, (Excellent),67,16%,"['Free Parking', 'Conference Room', 'Bar']",Bangalore,9/8/2021,11/8/2021,"1,720"
Courtyard Bhopal,"₹ 7,699",Maharana Pratap Nagar | 64 m from DB City Mall,,4.3, (Very Good),543,,"['Lounge', 'Butler Services', 'Free Parking']",Bhopal,9/8/2021,11/8/2021,"7,699"
"Stay Inn, Bhopal.","₹ 1,199",Zone - 2,Exclusive Offer - HDFC Credit Card Users. Get INR 582 Off,3.9, (Good),279,32%,"['Free Parking', 'ATM', 'Vehicle Rentals']",Bhopal,9/8/2021,11/8/2021,"1,199"
Hotel Shubh Inn,"₹ 2,381",Zone - 2 | 410 m from Bhopal Habibganj Railway Station,Exclusive Offer - HDFC Credit Card Users. Get INR 1156 Off,3.9, (Good),454,30%,"['Indoor Games', 'Free Parking', 'Conference Room']",Bhopal,9/8/2021,11/8/2021,"2,381"
Hotel Amer Palace,"₹ 2,608",Near Chetak Bridge,Exclusive Offer - HDFC Credit Card Users. Get INR 3000 Off,3.9, (Good),609,35%,"['Free Parking', 'Bakery', 'Free Wi-Fi']",Bhopal,9/8/2021,11/8/2021,"2,608"
Jehan Numa Palace Hotel,"₹ 6,750",Shymala Hills | 12.4 km from Raja Bhoj International,,4.4, (Very Good),436,,"['Free Parking', 'Conference Room', 'Bakery']",Bhopal,9/8/2021,11/8/2021,"6,750"
Aditya Residency,"₹ 1,849",Near Chetak Bridge,Exclusive Offer - HDFC Credit Card Users. Get INR 898 Off,4.1, (Very Good),176,41%,"['Free Parking', 'Conference Room', 'Bar']",Bhopal,9/8/2021,11/8/2021,"1,849"
Hotel K C Palace,"₹ 2,068",Zone - 2,Exclusive Offer - HDFC Credit Card Users. Get INR 528 Off,4.2, (Very Good),252,6%,"['Conference Room', 'ATM', 'Vehicle Rentals']",Bhopal,9/8/2021,11/8/2021,"2,068"
Fairyland Clarks Inn,"₹ 3,021",Chuna Bhatti,Exclusive Offer - HDFC Credit Card Users. Get INR 1435 Off,3.8, (Good),103,14%,"['Business Centre', 'Conference Room', 'Elevator/Lift']",Bhopal,9/8/2021,11/8/2021,"3,021"
Hotel Shagun,₹ 956,Peer Gate Area | 9.5 km from Raja Bhoj International,Exclusive Offer - HDFC Credit Card Users. Get INR 464 Off,4.1, (Very Good),50,32%,"['Butler Services', 'Free Parking', 'Business Centre']",Bhopal,9/8/2021,11/8/2021,956
